a,timestamp,watthour
,2017-08-16 12:30:00,10152.22
,2017-08-16 12:45:00,10094.52
,2017-08-16 13:00:00,10460.76
,2017-08-16 13:15:00,10478.78
,2017-08-16 13:30:00,10777.92
,2017-08-16 13:45:00,10815.18
,2017-08-16 14:00:00,10479.86
,2017-08-16 14:15:00,10725.7
,2017-08-16 14:30:00,10354.06
,2017-08-16 14:45:00,10369.2
,2017-08-16 15:00:00,10159.75
,2017-08-16 15:15:00,10178.05
,2017-08-16 15:30:00,10328.99
,2017-08-16 15:45:00,10241.48
,2017-08-16 16:00:00,10032.47
,2017-08-16 16:15:00,10863.87
,2017-08-16 16:30:00,10402.12
,2017-08-16 16:45:00,10342.47
,2017-08-16 17:00:00,10481.17
,2017-08-16 17:15:00,10696.27
,2017-08-16 17:30:00,10786.01
,2017-08-16 17:45:00,10621.06
,2017-08-16 18:00:00,9935.51
,2017-08-16 18:15:00,10105.1
,2017-08-16 18:30:00,9661.82
,2017-08-16 18:45:00,9911.87
,2017-08-16 19:00:00,9741.26
,2017-08-16 19:15:00,9349.55
,2017-08-16 19:30:00,8630.16
,2017-08-16 19:45:00,8659.95
,2017-08-16 20:00:00,8661.56
,2017-08-16 20:15:00,8759.41
,2017-08-16 20:30:00,8525.65
,2017-08-16 20:45:00,8115
,2017-08-16 21:00:00,8237.19
,2017-08-16 21:15:00,8441.19
,2017-08-16 21:30:00,8622.29
,2017-08-16 21:45:00,8147.29
,2017-08-16 22:00:00,8228.13
,2017-08-16 22:15:00,8341.64
,2017-08-16 22:30:00,7987.71
,2017-08-16 22:45:00,8046.56
,2017-08-16 23:00:00,8045.58
,2017-08-16 23:15:00,6867.77
,2017-08-16 23:30:00,7291.18
,2017-08-16 23:45:00,7308.42
,2017-08-17 00:00:00,7522.97
,2017-08-17 00:15:00,7570.19
,2017-08-17 00:30:00,7691.12
,2017-08-17 00:45:00,8025.56
,2017-08-17 01:00:00,7828.83
,2017-08-17 01:15:00,8172.43
,2017-08-17 01:30:00,8165.06
,2017-08-17 01:45:00,7905.09
,2017-08-17 02:00:00,7985.54
,2017-08-17 02:15:00,8053.84
,2017-08-17 02:30:00,7924.13
,2017-08-17 02:45:00,7956.21
,2017-08-17 03:00:00,7723.58
,2017-08-17 03:15:00,8456.15
,2017-08-17 03:30:00,8005.77
